psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.90063,-562440,-0.71518,562440,0.71518,191.3096,0.00024326
3,1.69,-677288,-0.86122,677288,0.86122,189.0204,0.00024035
4,2.3525,-682572,-0.86794,682572,0.86794,186.7081,0.00023741
5,3.1357,-656625,-0.83494,656625,0.83494,183.8018,0.00023372
6,4.3369,-640119,-0.81395,640119,0.81395,179.7885,0.00022861
7,5.0881,-629640,-0.80063,629640,0.80063,176.2702,0.00022414
8,7.9764,-604335,-0.76845,604335,0.76845,173.2659,0.00022032
9,8.5514,-593150,-0.75423,593150,0.75423,169.4009,0.0002154
10,8.3181,-563312,-0.71629,563312,0.71629,165.2554,0.00021013
11,10.0024,-530949,-0.67514,530949,0.67514,161.3704,0.00020519
12,16.6937,-570445,-0.72536,570445,0.72536,163.3806,0.00020775
13,28.9227,-625772,-0.79571,625772,0.79571,169.8872,0.00021602
14,22.4587,-527556,-0.67082,527556,0.67082,158.2176,0.00020118
15,21.4721,-441991,-0.56202,441991,0.56202,153.4486,0.00019512
16,26.4981,-502825,-0.63938,502825,0.63938,153.9132,0.00019571
17,42.8828,-596601,-0.75862,596601,0.75862,160.2082,0.00020372
18,45.0888,-556969,-0.70822,556969,0.70822,159.2892,0.00020255
19,60.2401,-574945,-0.73108,574945,0.73108,162.9781,0.00020724
20,64.7152,-590271,-0.75057,590271,0.75057,161.5435,0.00020541
21,93.4141,-611626,-0.77772,611626,0.77772,168.5873,0.00021437
22,79.2389,-593868,-0.75514,593868,0.75514,163.6374,0.00020808
23,87.9692,-617494,-0.78518,617494,0.78518,162.8065,0.00020702
24,112.9456,-636127,-0.80888,636127,0.80888,167.6282,0.00021315
25,144.8877,-655695,-0.83376,655695,0.83376,172.2938,0.00021908
26,138.3899,-650989,-0.82778,650989,0.82778,168.9276,0.0002148
27,118.162,-630559,-0.8018,630559,0.8018,163.1383,0.00020744
28,138.3137,-643715,-0.81853,643715,0.81853,167.3042,0.00021274
29,163.4506,-638861,-0.81235,638861,0.81235,168.5593,0.00021433
30,181.6793,-647280,-0.82306,647280,0.82306,169.8518,0.00021598
